t,x(t),dx/dt
4.4000000003e+01,4.3502570328e+01,9.7749496063e-01
4.4100000003e+01,4.3600317205e+01,9.7744258698e-01
4.4200000003e+01,4.3698058845e+01,9.7739020751e-01
4.4300000003e+01,4.3795795246e+01,9.7733782222e-01
4.4400000003e+01,4.3893526409e+01,9.7728543112e-01
4.4500000003e+01,4.3991252333e+01,9.7723303419e-01
4.4600000003e+01,4.4088973016e+01,9.7718063144e-01
4.4700000003e+01,4.4186688459e+01,9.7712822287e-01
4.4800000003e+01,4.4284398660e+01,9.7707580846e-01
4.4900000003e+01,4.4382103620e+01,9.7702338823e-01
4.5000000003e+01,4.4479803338e+01,9.7697096217e-01
4.5100000003e+01,4.4577497812e+01,9.7691853028e-01
4.5200000003e+01,4.4675187044e+01,9.7686609255e-01
4.5300000003e+01,4.4772871031e+01,9.7681364898e-01
4.5400000003e+01,4.4870549773e+01,9.7676119957e-01
4.5500000003e+01,4.4968223270e+01,9.7670874432e-01
4.5600000003e+01,4.5065891522e+01,9.7665628323e-01
4.5700000003e+01,4.5163554527e+01,9.7660381629e-01
4.5800000003e+01,4.5261212285e+01,9.7655134350e-01
4.5900000003e+01,4.5358864795e+01,9.7649886486e-01
4.6000000003e+01,4.5456512058e+01,9.7644638037e-01
4.6100000003e+01,4.5554154071e+01,9.7639389002e-01
4.6200000003e+01,4.5651790835e+01,9.7634139382e-01
4.6300000003e+01,4.5749422350e+01,9.7628889176e-01
